race_id,course_type,distance,race_type,restriction_type,purse,number_of_run,gender,post_position,weight,equipment,medication,odds,pp_layoff,pp_track_0,pp_time_since_race_0,pp_course_type_0,pp_distance_0,pp_quality_0,pp_purse_0,pp_normalized_position_0,pp_class_rating_0,pp_speed_rating_0,pp_pace_figure_0,pp_bad_luck_0,pp_track_1,pp_time_since_race_1,pp_course_type_1,pp_distance_1,pp_quality_1,pp_purse_1,pp_normalized_position_1,pp_class_rating_1,pp_speed_rating_1,pp_pace_figure_1,pp_bad_luck_1,pp_track_2,pp_time_since_race_2,pp_course_type_2,pp_distance_2,pp_quality_2,pp_purse_2,pp_normalized_position_2,pp_class_rating_2,pp_speed_rating_2,pp_pace_figure_2,pp_bad_luck_2,pp_track_3,pp_time_since_race_3,pp_course_type_3,pp_distance_3,pp_quality_3,pp_purse_3,pp_normalized_position_3,pp_class_rating_3,pp_speed_rating_3,pp_pace_figure_3,pp_bad_luck_3,pp_track_4,pp_time_since_race_4,pp_course_type_4,pp_distance_4,pp_quality_4,pp_purse_4,pp_normalized_position_4,pp_class_rating_4,pp_speed_rating_4,pp_pace_figure_4,pp_bad_luck_4,pp_track_5,pp_time_since_race_5,pp_course_type_5,pp_distance_5,pp_quality_5,pp_purse_5,pp_normalized_position_5,pp_class_rating_5,pp_speed_rating_5,pp_pace_figure_5,pp_bad_luck_5,workout_last_month_0,workout_distance_0,workout_course_type_0,workout_time_0,workout_rank_0,workout_last_month_1,workout_distance_1,workout_course_type_1,workout_time_1,workout_rank_1,workout_last_month_2,workout_distance_2,workout_course_type_2,workout_time_2,workout_rank_2,workout_last_month_3,workout_distance_3,workout_course_type_3,workout_time_3,workout_rank_3,Position,normalized_position,first_off_layoff,second_off_layoff,third_off_layoff,jockey_win_percentage,trainer_win_percentage,trainer_jockey_win_percentage
1,0,550,5,1,30000.0,6,2,5,118,2,0,4.0,45.0,28,45.0,0,600.0,2.5,27100.0,0.375,64.0,610.0,580.0,True,30,80.0,0,600.0,1.0,18100.0,0.375,62.0,560.0,630.0,False,29,103.0,0,800.0,1.0,18100.0,0.8571428571428571,62.0,280.0,610.0,True,32,123.0,0,600.0,1.5,31600.0,0.375,63.0,560.0,660.0,False,36,145.0,0,600.0,1.0,18100.0,0.2222222222222222,63.0,580.0,630.0,True,38,164.0,0,550.0,2.5,27100.0,0.5,69.0,410.0,290.0,True,True,400.0,0,4900.0,1.0,False,400.0,0,4840.0,1.0,False,400.0,0,4900.0,1.0,False,400.0,0,5000.0,1.0,4,66.66666666666666,False,False,False,0.191044776119403,0.13636363636363635,0.2727272727272727
1,0,550,5,1,30000.0,6,2,6,118,2,0,2.5,45.0,38,45.0,0,700.0,2.5,32000.0,0.8888888888888888,80.0,590.0,570.0,False,31,202.0,0,600.0,4.0,100000.0,0.8,81.0,540.0,980.0,False,30,210.0,0,600.0,2.5,35000.0,0.5714285714285714,70.0,530.0,710.0,True,33,250.0,0,550.0,1.5,35000.0,0.3333333333333333,71.0,590.0,620.0,False,37,300.0,0,500.0,1.5,35000.0,0.42857142857142855,68.0,500.0,720.0,False,39,321.0,0,500.0,1.5,32000.0,0.4,69.0,530.0,420.0,True,True,400.0,0,4800.0,0.13333333333333333,True,400.0,0,5221.0,0.3333333333333333,False,500.0,0,10260.0,0.5,False,500.0,0,10300.0,0.75,2,33.33333333333333,False,True,False,0.1237785016286645,0.14516129032258066,0.18518518518518517
2,0,550,2,0,11000.0,7,2,2,122,2,0,3.5,278.0,29,278.0,0,600.0,2.0,19000.0,1.0,88.0,510.0,810.0,False,31,298.0,0,650.0,2.0,18000.0,1.0,87.0,760.0,780.0,False,30,315.0,0,600.0,2.0,22000.0,0.3333333333333333,98.0,830.0,610.0,False,33,336.0,0,600.0,2.0,21000.0,0.6,102.0,820.0,580.0,False,45,397.0,0,600.0,2.0,20000.0,0.7142857142857143,98.0,750.0,710.0,False,48,411.0,1,500.0,2.75,24000.0,0.375,105.0,1070.0,1060.0,True,True,300.0,0,3820.0,0.8695652173913043,True,400.0,0,5200.0,0.6666666666666666,True,400.0,0,5200.0,1.0,False,400.0,0,5000.0,1.0,5,71.42857142857143,True,False,False,0.23626373626373626,0.16129032258064516,0.21052631578947367
2,0,550,2,0,11000.0,7,2,3,122,2,0,12.0,45.0,38,45.0,0,550.0,2.0,13500.0,0.7142857142857143,86.0,620.0,230.0,False,31,287.0,0,600.0,2.0,14000.0,1.0,83.0,580.0,290.0,True,30,306.0,0,650.0,2.0,16000.0,0.7142857142857143,77.0,740.0,440.0,True,33,336.0,0,650.0,2.0,16000.0,0.3333333333333333,75.0,760.0,590.0,False,37,347.0,0,600.0,2.0,15000.0,0.2,80.0,740.0,650.0,False,39,362.0,0,550.0,2.0,15000.0,0.4,77.0,750.0,560.0,False,True,400.0,0,5180.0,1.0,False,300.0,0,3700.0,0.5,False,400.0,0,5100.0,0.3333333333333333,False,400.0,0,5100.0,0.6,1,14.285714285714285,False,True,False,0.06862745098039216,0.14545454545454545,0.125
2,0,550,2,0,11000.0,7,2,4,122,2,0,4.0,237.0,29,237.0,0,600.0,2.0,13000.0,0.16666666666666666,76.0,690.0,240.0,False,31,257.0,0,600.0,2.0,12000.0,0.2857142857142857,77.0,760.0,530.0,False,30,273.0,0,600.0,2.0,12000.0,0.2,78.0,740.0,610.0,True,33,305.0,0,600.0,2.0,12000.0,0.3333333333333333,75.0,760.0,290.0,False,29,331.0,0,550.0,2.0,18530.0,0.6666666666666666,80.0,730.0,310.0,False,32,345.0,1,800.0,4.0,54840.0,0.9166666666666666,87.0,640.0,680.0,True,True,500.0,0,10180.0,0.8333333333333334,True,400.0,0,4900.0,0.42857142857142855,False,300.0,0,3880.0,1.0,False,400.0,0,5000.0,1.0,3,42.857142857142854,True,False,False,0.14068441064638784,0.20987654320987653,0.17647058823529413
2,0,550,2,0,11000.0,7,2,5,122,2,0,3.0,203.0,29,203.0,0,500.0,2.0,14000.0,0.6666666666666666,87.0,770.0,450.0,False,31,214.0,0,550.0,2.0,16000.0,0.6,82.0,750.0,750.0,True,30,244.0,0,550.0,2.0,14000.0,0.125,79.0,850.0,570.0,False,33,334.0,0,600.0,3.25,33000.0,0.8333333333333334,84.0,720.0,260.0,False,37,350.0,0,600.0,2.0,17000.0,0.42857142857142855,81.0,750.0,650.0,False,39,572.0,0,650.0,2.0,16000.0,0.3333333333333333,86.0,830.0,660.0,False,True,400.0,0,5120.0,0.6666666666666666,True,400.0,0,5100.0,0.47058823529411764,False,400.0,0,5100.0,0.14285714285714285,False,400.0,0,5110.0,0.5833333333333334,2,28.57142857142857,True,False,False,0.06666666666666667,0.11904761904761904,0.13157894736842105
2,0,550,2,0,11000.0,7,2,7,122,2,0,5.0,251.0,29,251.0,0,832.0,2.0,14000.0,1.0,82.0,450.0,820.0,False,31,265.0,0,832.0,2.0,14000.0,0.6,86.0,680.0,660.0,False,30,286.0,0,832.0,2.0,12000.0,0.1,79.0,820.0,750.0,True,33,300.0,0,832.0,2.0,13000.0,0.2857142857142857,80.0,750.0,570.0,True,37,320.0,0,800.0,2.0,13000.0,1.0,85.0,720.0,500.0,False,39,334.0,0,832.0,2.0,13000.0,0.8,76.0,730.0,770.0,False,True,400.0,0,4860.0,0.36666666666666664,True,400.0,0,4920.0,0.42857142857142855,True,500.0,0,10130.0,0.5,False,400.0,0,4900.0,0.2112676056338028,4,57.14285714285714,True,False,False,0.08695652173913043,0.1702127659574468,0.0
3,0,550,2,0,16000.0,7,2,1,122,2,0,8.0,19.0,39,19.0,0,600.0,3.0,40100.0,0.9090909090909091,76.0,620.0,410.0,False,27,56.0,0,800.0,3.0,33700.0,0.5714285714285714,78.0,600.0,500.0,False,27,70.0,0,600.0,3.0,33700.0,0.3333333333333333,79.0,590.0,0.0,False,30,91.0,0,600.0,3.0,36200.0,0.8333333333333334,84.0,680.0,340.0,False,34,179.0,0,800.0,3.0,33700.0,0.6666666666666666,74.0,440.0,590.0,False,39,221.0,0,832.0,2.0,22000.0,1.0,92.0,760.0,580.0,False,True,400.0,0,4900.0,1.0,False,400.0,0,4840.0,1.0,False,400.0,0,4900.0,1.0,False,400.0,0,5000.0,1.0,2,28.57142857142857,False,False,False,0.1237785016286645,0.0,0.0
3,0,550,2,0,16000.0,7,2,2,122,6,0,2.5,37.0,15,37.0,0,500.0,2.0,22000.0,0.7142857142857143,94.0,780.0,640.0,True,16,65.0,0,550.0,2.0,24000.0,0.4,94.0,830.0,620.0,True,15,92.0,0,500.0,2.0,24000.0,0.3333333333333333,90.0,800.0,500.0,True,18,120.0,0,550.0,2.0,24000.0,0.875,91.0,720.0,810.0,False,37,202.0,0,600.0,2.0,15000.0,1.0,90.0,670.0,660.0,False,39,215.0,0,600.0,2.0,14000.0,0.1111111111111111,86.0,830.0,840.0,False,True,400.0,0,5040.0,0.8666666666666667,False,300.0,0,3740.0,0.42857142857142855,False,400.0,0,4925.0,0.18032786885245902,False,400.0,0,5055.0,0.4878048780487805,1,14.285714285714285,False,False,False,0.191044776119403,0.3939393939393939,0.47058823529411764
3,0,550,2,0,16000.0,7,2,3,122,2,0,12.0,146.0,26,146.0,0,600.0,1.0,21500.0,0.625,82.0,480.0,390.0,False,27,168.0,0,600.0,1.0,21500.0,0.42857142857142855,77.0,540.0,530.0,False,27,186.0,0,600.0,1.0,21500.0,0.625,75.0,580.0,850.0,True,42,217.0,0,600.0,3.0,40100.0,0.9090909090909091,82.0,560.0,550.0,False,46,258.0,0,600.0,3.0,38400.0,0.16666666666666666,81.0,820.0,750.0,True,49,324.0,0,550.0,3.0,38400.0,0.375,76.0,630.0,450.0,True,True,400.0,0,4880.0,0.23529411764705882,True,400.0,0,5210.0,0.6666666666666666,False,300.0,0,3220.0,0.125,False,400.0,0,5200.0,1.0,3,42.857142857142854,True,False,False,0.06862745098039216,0.2857142857142857,0.18181818181818182
